user_id,first_name,last_name,age,gender,sexual_orientation,languages_spoken,interests_main,interests_sub,topics_to_avoid,created_at
ace115bb-222b-4f71-af26-123c7df78c7e,Chantal,Langlois,56,Femme,Hétéro,Espagnol|Anglais|Italien,Podcasts,3812,Aucun,2025-03-19T14:09:11.487625
f91b0abb-6653-46d0-8d30-70271a4f2e36,Hélène,Brun,42,Homme,Pan,Espagnol|Français|Anglais,Voyage|Cuisine|Sport,Voyage:City trip|Cuisine:Cuisine du monde|Sport:Yoga,Politique,2025-04-10T14:09:11.487734
2616bb83-a49f-455c-807d-343853691143,Marguerite,Delannoy,62,Préfère ne pas dire,Préfère ne pas dire,Allemand,Photographie,Photographie:Urbain,Aucun|Religion,2024-10-26T14:09:11.487796
e91b29ad-2303-4680-8509-79beb19a03f9,Danielle,Lelièvre,22,Préfère ne pas dire,Bi,Autre|Espagnol,Cuisine,Cuisine:Végétarien/vegan,Actualité sensible,2024-10-27T14:09:11.487847
e135997e-c151-4aa2-857d-9b0cd1722a01,Adélaïde,Teixeira,62,Homme,Homo,Allemand|Espagnol,Podcasts|Photographie|Entrepreneuriat,Podcasts:Développement perso|Photographie:Portrait|Entrepreneuriat:Investissement,Actualité sensible,2025-03-30T14:09:11.487921
1ce6c3df-8ffa-4011-b536-2b1c542f2243,Maurice,Martin,57,Préfère ne pas dire,Pan,Allemand|Anglais|Espagnol,Entrepreneuriat,Entrepreneuriat:Marketing,Aucun|Vie privée,2025-04-19T14:09:11.487999
6d0ec4b8-435e-4cfd-a6f8-870da4bd0777,Madeleine,Jean,64,Femme,Hétéro,Autre,Sciences,Sciences:Sciences sociales,Vie privée,2025-04-09T14:09:11.488048
91ae885f-0d30-455f-b88d-abd4af8d3221,Julien,Carlier,16,Femme,Préfère ne pas dire,Autre|Espagnol,Sport,Sport:Randonnée,Vie privée,2025-10-20T14:09:11.488093
bf0f2914-664d-4476-b9d8-f33817eb658e,Clémence,Leroux,22,Non-binaire,Préfère ne pas dire,Anglais|Autre|Espagnol,Photographie,Photographie:Portrait,Vie privée|Politique,2025-08-25T14:09:11.488176
f2dd17a3-4d2b-40ae-b904-63ff1d8eac8c,Constance,Perret,52,Femme,Hétéro,Allemand|Français|Anglais,Sciences,Sciences:Sciences sociales,Actualité sensible,2025-01-24T14:09:11.488245
375a1bab-72f0-4c2e-b372-b899fff6cedc,Marie,Prévost,61,Non-binaire,Pan,Autre|Espagnol|Allemand,Jeux vidéo|Musique|Entrepreneuriat,Jeux vidéo:FPS|Musique:Pop|Entrepreneuriat:Marketing,Aucun,2025-01-11T14:09:11.488297
